isEmpty;O campo deve ser preenchido
stringLengthTooShort;O valor do campo deve ter no minimo %min%
caracteres
stringLengthTooLong;O valor do campo deve ter no máximo %max%
caracteres
notSame;Os valores fornecidos são diferentes
missingToken;Nenhuma senha foi fornecida
emailAddressInvalid;Endereço de e-mail inválido
hostnameInvalidHostname;Endereço inválido
notDigits;Valor inválido
hostnameUnknownTld;'%value%' é um domínio desconhecido
hostnameLocalNameNotAllowed;'%value%' é um domínio não permitido
emailAddressInvalidHostname;'%value%' não é um email inválido
emailAddressInvalidFormat;'%value%' não é um email inválido
dateInvalid;Data inválida
alphaStringEmpty; O campo vazio
notAlpha;'%value%' não e permitido. Utilizar somente letras
notAlnum;'%value%' não e permitido. Esse campo é alphanumeríco
regexNotMatch;'%value%' está fora da especificação do campo